date,Brazil,India
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,1
2020-01-31,0,1
2020-02-01,0,1
2020-02-02,0,2
2020-02-03,0,3
2020-02-04,0,3
2020-02-05,0,3
2020-02-06,0,3
2020-02-07,0,3
2020-02-08,0,3
2020-02-09,0,3
2020-02-10,0,3
2020-02-11,0,3
2020-02-12,0,3
2020-02-13,0,3
2020-02-14,0,3
2020-02-15,0,3
2020-02-16,0,3
2020-02-17,0,3
2020-02-18,0,3
2020-02-19,0,3
2020-02-20,0,3
2020-02-21,0,3
2020-02-22,0,3
2020-02-23,0,3
2020-02-24,0,3
2020-02-25,0,3
2020-02-26,1,3
2020-02-27,1,3
2020-02-28,1,3
2020-02-29,2,3
2020-03-01,2,3
2020-03-02,2,5
2020-03-03,2,5
2020-03-04,4,28
2020-03-05,4,30
2020-03-06,13,31
2020-03-07,13,34
2020-03-08,20,39
2020-03-09,25,43
2020-03-10,31,56
2020-03-11,38,62
2020-03-12,52,73
2020-03-13,151,82
2020-03-14,151,102
2020-03-15,162,113
2020-03-16,200,119
2020-03-17,321,142
2020-03-18,372,156
2020-03-19,621,194
2020-03-20,793,244
2020-03-21,1021,330
2020-03-22,1546,396
2020-03-23,1924,499
2020-03-24,2247,536
2020-03-25,2554,657
2020-03-26,2985,727
2020-03-27,3417,887
2020-03-28,3904,987
2020-03-29,4256,1024
2020-03-30,4579,1251
2020-03-31,5717,1397
2020-04-01,6836,1998
2020-04-02,8044,2543
2020-04-03,9056,2567
2020-04-04,10360,3082
2020-04-05,11130,3588
2020-04-06,12161,4778
2020-04-07,14034,5311
2020-04-08,16170,5916
2020-04-09,18092,6725
2020-04-10,19638,7598
2020-04-11,20727,8446
2020-04-12,22192,9205
2020-04-13,23430,10453
2020-04-14,25262,11487
2020-04-15,28320,12322
2020-04-16,30425,13430
2020-04-17,33682,14352
2020-04-18,36658,15722
2020-04-19,38654,17615
2020-04-20,40743,18539
2020-04-21,43079,20080
2020-04-22,45757,21370
2020-04-23,50036,23077
2020-04-24,54043,24530
2020-04-25,59324,26283
2020-04-26,63100,27890
2020-04-27,67446,29451
2020-04-28,73235,31324
2020-04-29,79685,33062
2020-04-30,87187,34863
2020-05-01,92202,37257
2020-05-02,97100,39699
2020-05-03,101826,42505
2020-05-04,108620,46437
2020-05-05,115455,49400
2020-05-06,126611,52987
2020-05-07,135773,56351
2020-05-08,146894,59695
2020-05-09,156061,62808
2020-05-10,162699,67161
2020-05-11,169594,70768
2020-05-12,178214,74292
2020-05-13,190137,78055
2020-05-14,203165,81997
2020-05-15,220291,85784
2020-05-16,233511,90648
2020-05-17,241080,95698
2020-05-18,255368,100328
2020-05-19,271885,106475
